Postcode,Index of Multiple Deprivation Decile,Income Decile
PL7 1UQ,10,10
PL6 6AU,10,9
PL6 6AY,10,9
PL6 6BR,10,9
PL6 6BS,10,9
PL6 6BT,10,9
PL6 6BU,10,9
PL6 6BX,10,9
PL6 6BY,10,9
PL6 6BZ,10,9
PL6 6DA,10,9
PL6 6DB,10,9
PL6 6DD,10,9
PL6 6DG,10,9
PL6 6DQ,10,9
PL6 6HH,10,9
PL6 6HL,10,9
PL6 6LH,10,9
PL6 6LQ,10,9
PL6 6PJ,10,9
PL6 6PL,10,9
PL6 6PN,10,9
PL6 7DH,10,9
PL6 7DJ,10,9
PL6 7DL,10,9
PL6 7DN,10,9
PL6 7DS,10,9
PL6 7DU,10,9
PL6 7DW,10,9
PL6 7DX,10,9
PL6 7DY,10,9
PL6 7EA,10,9
PL6 7ED,10,9
PL6 7EH,10,9
PL6 7HB,10,9
PL9 8AR,10,10
PL9 8AT,10,10
PL9 8BA,10,10
PL9 8BB,10,10
PL9 8BG,10,10
PL9 8BH,10,10
PL9 8BJ,10,10
PL9 8BL,10,10
PL9 8BN,10,10
PL9 8BP,10,10
PL9 8BS,10,10
PL9 8BT,10,10
PL9 8BW,10,10
PL9 8BY,10,10
PL9 8BZ,10,10
PL9 8DA,10,10
PL9 8DD,10,10
PL9 8DE,10,10
PL9 8DF,10,10
PL9 8DG,10,10
PL9 8DH,10,10
PL9 8DL,10,10
PL9 8DN,10,10
PL9 8DP,10,10
PL9 8DR,10,10
PL9 8DU,10,10
PL9 8DW,10,10
PL9 8DZ,10,10
PL9 8EA,10,10
PL9 8HR,10,10
PL9 8HS,10,10
PL9 8HT,10,10
PL9 8HY,10,10
PL9 8HZ,10,10
PL9 8NE,10,10
PL9 8NF,10,10
PL9 8NG,10,10
PL9 8NH,10,10
PL9 8NJ,10,10
PL9 8NP,10,10
PL9 8NQ,10,10
PL9 8NR,10,10
PL9 8NS,10,10
PL9 8NU,10,10
PL6 7DR,10,9
PL9 8BQ,10,10
PL9 8BU,10,10
PL9 8BX,10,10
PL9 8DJ,10,10
PL9 8EF,10,10
PL9 8PL,10,10
PL9 8PE,10,10
PL6 7UB,10,9
PL9 8JW,10,10
PL9 8PN,10,10
PL9 8PP,10,10
PL9 8AY,10,10
PL9 8DB,10,10
PL9 8LX,10,10
PL7 1AE,10,10
PL9 8BE,10,10
PL9 8FD,10,10
PL9 8FE,10,10
PL9 8FA,10,10
PL9 8FF,10,10
PL9 8FG,10,10
PL9 8FH,10,10
PL9 8FJ,10,10
PL9 8FB,10,10
PL9 8FQ,10,10
PL3 4PR,9,9
PL3 4PS,9,9
PL3 5LQ,9,9
PL3 5NY,9,9
PL3 5NZ,9,9
PL3 5PA,9,9
PL3 5PB,9,9
PL3 5PD,9,9
PL3 5PE,9,9
PL3 5PF,9,9
PL3 5PG,9,9
PL3 5PH,9,9
PL3 5PJ,9,9
PL3 5PL,9,9
PL3 5PN,9,9
PL3 5PQ,9,9
PL3 5PS,9,9
PL3 5PT,9,9
PL3 5PW,9,9
PL3 5QG,9,9
PL3 5QL,9,9
PL3 5QN,9,9
PL3 5QP,9,9
PL3 5QQ,9,9
PL3 5QR,9,9
PL3 5QS,9,9
PL3 5QT,9,9
PL3 5QW,9,9
PL3 5QY,9,9
PL3 5RA,9,9
PL3 5RB,9,9
PL3 5RE,9,9
PL3 5RF,9,9
PL3 5RL,9,9
PL3 5RN,9,9
PL3 5RP,9,9
PL3 5RR,9,9
PL3 5RS,9,9
PL3 5RT,9,9
PL3 5RU,9,9
PL3 5RW,9,9
PL3 5RZ,9,9
PL3 5SA,9,9
PL3 5SB,9,9
PL3 5SD,9,9
PL3 5SE,9,9
PL3 5SF,9,9
PL3 5SG,9,9
PL3 5SH,9,9
PL3 5SJ,9,9
PL3 5SL,9,9
PL3 5SN,9,9
PL3 5SQ,9,9
PL3 5ST,9,9
PL3 5TA,9,9
PL3 5TD,9,9
PL3 5TE,9,9
PL3 5TF,9,9
PL3 5TG,9,9
PL3 5TH,9,9
PL3 5TJ,9,9
PL3 5TL,9,9
PL3 5TN,9,9
PL3 5TP,9,9
PL3 5TQ,9,9
PL3 5TR,9,9
PL3 5TS,9,9
PL3 5TT,9,9
PL3 5TW,9,9
PL3 5UD,9,9
PL3 5UF,9,9
PL6 5HJ,9,9
PL6 5HW,9,9
PL6 5JD,9,9
PL6 5JE,9,9
PL6 5JF,9,9
PL6 5JQ,9,9
PL6 6AA,9,9
PL6 6AB,9,9
PL6 6AD,9,9
PL6 6AG,9,9
PL6 6AH,9,9
PL6 6AJ,9,9
PL6 6AL,9,9
PL6 6AN,9,9
PL6 6AP,9,9
PL6 6AQ,9,9
PL6 6AR,9,9
PL6 6AS,9,9
PL6 6AT,9,9
PL6 6AW,9,9
PL6 6AZ,9,9
PL6 6BA,9,9
PL6 6BB,9,9
PL6 6BD,9,9
PL6 6BE,9,9
PL6 6BG,9,9
PL6 6BQ,9,9
PL6 6BW,9,9
PL6 6LJ,9,9
PL6 6LL,9,9
PL6 8AA,9,9
PL6 8AB,9,9
PL6 8AE,9,9
PL6 8AG,9,9
PL6 8AL,9,9
PL6 8AN,9,9
PL6 8AQ,9,9
PL7 2DP,9,9
PL7 2DS,9,9
PL7 2DT,9,9
PL7 2DU,9,9
PL7 2DY,9,9
PL7 2DZ,9,9
PL7 2EA,9,9
PL7 2EB,9,9
PL7 2ED,9,9
PL7 2EE,9,9
PL7 2EF,9,9
PL7 2EG,9,9
PL7 2EH,9,9
PL7 2EJ,9,9
PL7 2EL,9,9
PL7 2EN,9,9
PL7 2EP,9,9
PL7 2EQ,9,9
PL7 2ER,9,9
PL7 2ES,9,9
PL7 2ET,9,9
PL7 2EW,9,9
PL7 2FB,9,10
PL7 2FD,9,10
PL7 2FF,9,10
PL7 2FU,9,9
PL7 2FX,9,9
PL7 2HR,9,9
PL7 2HU,9,9
PL7 2HX,9,9
PL7 2HY,9,9
PL7 1RD,9,10
PL7 1RX,9,10
PL7 1RY,9,10
PL7 1RZ,9,10
PL7 1SA,9,10
PL7 1SB,9,10
PL7 1SE,9,10
PL7 1SF,9,10
PL7 1SG,9,10
PL7 1SJ,9,10
PL7 1SL,9,10
